province_code,year_be,has_actual_data,generated_ton_day,recycled_ton_day,disposed_correct_ton_day,disposed_incorrect_ton_day,residual_ton,pct_recycled,pct_disposed_correct,pct_disposed_incorrect,generated_million_ton_yr,recycled_million_ton_yr,disposed_correct_million_ton_yr,disposed_incorrect_million_ton_yr,residual_million_ton_yr
16,2556,True,538.69,82.9,5.0,450.79,556680.0,15.39,0.93,83.68,0.2,0.03,0.01,0.16,0.56
74,2556,True,619.56,212.72,0.0,406.84,67157.75,34.33,0.0,65.67,,,,,
5,2556,True,796.19,123.74,0.0,672.45,585717.9,15.54,0.0,84.46,0.29,0.05,0.0,0.24,0.58
44,2556,True,523.57,154.37,35.0,334.2,102030.3,29.48,6.68,63.83,0.19,0.06,0.01,0.12,0.1
65,2556,True,299.69,104.86,74.29,120.54,15826.2,34.99,24.79,40.22,0.11,0.04,0.03,0.04,0.01
73,2556,True,502.84,145.27,41.22,316.35,84577.5,28.89,8.2,62.91,0.18,0.05,0.02,0.11,0.1
53,2556,True,542.5,138.78,44.95,358.77,36957.0,25.58,8.29,66.13,0.2,0.05,0.02,0.13,0.04
52,2556,True,867.38,207.85,160.52,499.01,24376.0,23.96,18.51,57.53,0.32,0.08,0.06,0.18,0.02
66,2556,True,686.77,106.83,579.94,0.0,0.0,15.56,84.44,0.0,0.25,0.04,0.21,0.0,0.0
32,2556,True,959.97,179.58,65.13,715.26,66562.64,18.71,6.78,74.51,0.35,0.07,0.02,0.26,0.07
37,2556,True,320.21,58.96,78.8,182.45,61.29,18.41,24.61,56.98,0.12,0.02,0.03,0.07,0.0
75,2556,True,533.83,229.4,53.51,250.92,231029.4,42.97,10.02,47.0,0.19,0.08,0.02,0.09,0.23
24,2556,True,488.62,116.28,133.88,238.46,20252.52,23.8,27.4,48.8,0.18,0.04,0.05,0.09,0.02
68,2556,True,199.17,10.64,0.0,188.53,296992.2,5.34,0.0,94.66,0.07,0.0,0.0,0.07,0.3
12,2556,True,961.9,307.09,351.14,303.67,45150.0,31.93,36.5,31.57,0.35,0.11,0.13,0.11,0.04
55,2556,True,865.29,159.79,4.44,701.06,1000122.79,18.47,0.51,81.02,0.32,0.06,0.0,0.26,1.0
33,2556,True,1253.59,197.89,43.11,1012.59,91979.37,15.79,3.44,80.78,0.46,0.07,0.02,0.37,0.1
7,2556,True,774.71,149.99,46.18,578.54,352288.0,19.36,5.96,74.68,0.28,0.05,0.02,0.21,0.35
40,2556,True,815.36,156.77,150.72,507.87,395577.6,19.23,18.49,62.29,0.3,0.06,0.06,0.18,0.4
39,2556,True,397.17,90.11,133.24,173.82,731.76,22.69,33.55,43.76,0.14,0.03,0.05,0.06,0.0
22,2556,True,1353.17,56.76,107.06,1189.35,111469.2,4.19,7.91,87.89,0.49,0.02,0.04,0.43,0.11
35,2556,True,1039.84,184.61,163.26,691.97,21869.82,17.75,15.7,66.55,0.38,0.07,0.06,0.25,0.02
70,2556,True,1597.17,594.79,74.71,927.67,2471840.4,37.24,4.68,58.08,0.58,0.22,0.03,0.34,2.47
71,2556,True,291.37,103.96,64.36,123.05,95148.0,35.68,22.09,42.23,0.11,0.04,0.02,0.05,0.1
2,2556,True,1935.75,184.45,0.0,1751.3,2063448.0,9.53,0.0,90.47,0.71,0.07,0.0,0.64,2.06
60,2556,True,250.75,40.28,4.6,205.87,68130.9,16.06,1.83,82.1,0.09,0.01,0.0,0.08,0.07
59,2556,True,665.39,106.91,315.03,243.45,52950.0,16.07,47.35,36.59,0.24,0.04,0.11,0.09,0.05
10,2556,True,685.14,104.58,372.15,208.41,201720.0,15.26,54.32,30.42,0.25,0.04,0.14,0.07,0.2
18,2556,True,537.86,124.02,46.5,367.34,35175.0,23.06,8.65,68.3,0.2,0.05,0.02,0.13,0.03
8,2556,True,240.85,46.39,52.23,142.23,10327.5,19.26,21.69,59.05,0.09,0.02,0.02,0.05,0.01
57,2556,True,848.24,130.65,58.08,659.51,144922.5,15.4,6.85,77.75,0.31,0.05,0.02,0.24,0.14
67,2556,True,978.19,15.13,0.0,963.06,1003332.6,1.55,0.0,98.45,0.36,0.01,0.0,0.35,1.0
21,2556,True,1302.17,28.12,84.64,1189.41,72451.83,2.16,6.5,91.34,0.48,0.01,0.04,0.43,0.07
51,2556,True,582.8,102.39,91.97,388.44,184257.0,17.57,15.78,66.65,0.21,0.04,0.03,0.14,0.2
31,2556,True,494.35,170.72,152.58,171.05,17237.1,34.53,30.86,34.6,0.18,0.06,0.06,0.06,0.02
27,2556,True,495.7,168.75,42.49,284.46,29662.2,34.04,8.57,57.39,0.18,0.06,0.02,0.1,0.03
26,2556,True,348.18,83.96,60.65,203.57,16304.11,24.11,17.42,58.47,0.13,0.04,0.02,0.07,0.01
29,2556,True,1624.0,515.42,322.62,785.96,7249.1,31.74,19.87,48.4,0.59,0.19,0.12,0.28,0.01
41,2556,True,464.85,127.73,77.93,259.19,73163.0,27.48,16.76,55.76,0.17,0.05,0.03,0.09,0.07
48,2556,True,314.17,64.78,52.5,196.89,4252.8,20.62,16.71,62.67,0.11,0.02,0.02,0.07,0.0
23,2556,True,1716.43,365.88,408.41,942.14,314.49,21.32,23.79,54.89,0.63,0.14,0.15,0.34,0.0
6,2556,True,301.65,81.93,0.0,219.72,151581.0,27.16,0.0,72.84,0.11,0.03,0.0,0.08,0.15
45,2556,True,1192.19,237.44,402.95,551.8,3046.5,19.92,33.8,46.28,0.44,0.09,0.15,0.2,0.0
38,2556,True,1718.92,627.25,777.71,313.96,1429.32,36.49,45.24,18.26,0.63,0.24,0.28,0.11,0.0
61,2556,True,521.45,89.74,30.72,400.99,1173416.21,17.21,5.89,76.9,0.19,0.03,0.01,0.15,1.17
54,2556,True,903.04,166.28,105.48,631.28,297240.0,18.41,11.68,69.91,0.33,0.06,0.04,0.23,0.3
30,2556,True,651.89,224.41,3.5,423.98,10500.28,34.42,0.54,65.04,0.24,0.09,0.0,0.15,0.01
42,2556,True,493.91,143.79,0.0,350.12,365232.33,29.11,0.0,70.89,0.18,0.05,0.0,0.13,0.36
46,2556,True,219.45,82.69,44.09,92.67,153.6,37.68,20.09,42.23,0.08,0.03,0.02,0.03,0.0
64,2557,True,551.0,145.0,140.0,266.0,245819.54,26.32,25.41,48.28,0.2,0.05,0.05,0.1,0.24
1,2557,True,10800.0,1600.0,9200.0,0.0,0.0,14.81,85.19,0.0,3.94,0.58,3.36,0.0,0.0
56,2557,True,798.0,130.0,2.0,666.0,934598.0,16.29,0.25,83.46,,,,,
34,2557,True,957.0,296.0,89.0,572.0,56600.0,30.93,9.3,59.77,0.35,0.11,0.03,0.21,0.05
49,2557,True,712.0,160.0,170.0,382.0,10940.0,22.47,23.88,53.65,0.26,0.06,0.06,0.14,0.01
28,2557,True,1829.0,440.0,180.0,1209.0,767967.24,24.06,9.84,66.1,0.67,0.16,0.07,0.44,0.77
13,2557,True,590.0,140.0,189.0,261.0,80475.0,23.73,32.03,44.24,,,,,
15,2557,True,836.0,69.0,18.0,749.0,655033.0,8.25,2.15,89.59,0.31,0.03,0.01,0.27,0.65
11,2557,True,2398.0,155.0,1073.0,1170.0,591386.0,6.46,44.75,48.79,0.88,0.06,0.39,0.43,0.6
9,2557,True,361.0,26.0,3.0,332.0,226764.69,7.2,0.83,91.97,0.13,0.01,0.0,0.12,0.23
25,2557,True,1072.0,244.0,94.0,734.0,64966.15,22.76,8.77,68.47,0.39,0.09,0.03,0.27,0.06
69,2557,True,370.0,10.0,36.0,324.0,116491.05,2.7,9.73,87.57,0.14,0.0,0.01,0.13,0.12
72,2557,True,716.0,286.0,21.0,409.0,212719.2,39.94,2.93,57.12,0.26,0.1,0.01,0.15,0.21
14,2557,True,245.0,40.0,78.0,127.0,19455.0,16.33,31.84,51.84,0.09,0.01,0.03,0.05,0.02
50,2557,True,672.0,142.0,31.0,499.0,126195.75,21.13,4.61,74.26,0.25,0.05,0.01,0.19,0.13
17,2557,True,252.0,57.0,91.0,104.0,134833.62,22.62,36.11,41.27,0.09,0.02,0.03,0.04,0.13
58,2557,True,971.0,167.0,484.0,320.0,353105.0,17.2,49.85,32.96,0.35,0.06,0.18,0.11,0.35
36,2557,True,641.0,162.0,19.0,460.0,51588.93,25.27,2.96,71.76,0.23,0.06,0.01,0.16,0.05
19,2557,True,2264.0,70.0,349.0,1845.0,760825.0,3.09,15.42,81.49,0.83,0.03,0.13,0.67,0.76
63,2557,True,1085.0,55.0,23.0,1007.0,1047357.6,5.07,2.12,92.81,0.4,0.02,0.01,0.37,1.05
47,2557,True,1108.0,250.0,316.0,542.0,27589.5,22.56,28.52,48.92,0.4,0.09,0.12,0.19,0.03
3,2557,True,1617.0,338.0,1279.0,0.0,0.0,20.9,79.1,0.0,0.59,0.12,0.47,0.0,0.0
76,2557,True,736.0,255.0,108.0,373.0,31809.15,34.65,14.67,50.68,0.27,0.09,0.04,0.14,0.03
43,2557,True,449.0,125.0,40.0,284.0,9477.63,27.84,8.91,63.25,0.16,0.05,0.01,0.1,0.01
77,2557,True,341.0,113.0,50.0,178.0,12446.22,33.14,14.66,52.2,0.12,0.04,0.02,0.06,0.01
20,2557,True,1553.0,155.0,68.0,1330.0,58323.53,9.98,4.38,85.64,0.57,0.06,0.02,0.49,0.06
4,2557,True,1486.0,100.0,0.0,1386.0,167008.5,6.73,0.0,93.27,0.54,0.04,0.0,0.5,0.17
62,2557,True,592.0,118.0,117.0,357.0,440792.0,19.93,19.76,60.3,0.22,0.04,0.04,0.14,0.44
16,2557,True,437.0,20.0,10.0,407.0,552678.52,4.58,2.29,93.14,0.16,0.01,0.0,0.15,0.55
74,2557,True,631.0,233.0,70.0,328.0,11964.0,36.93,11.09,51.98,0.23,0.09,0.03,0.11,0.01
5,2557,True,1135.0,178.0,0.0,957.0,780031.2,15.68,0.0,84.32,0.41,0.06,0.0,0.35,0.78
44,2557,True,480.0,122.0,22.0,336.0,37605.9,25.42,4.58,70.0,0.18,0.04,0.01,0.13,0.04
65,2557,True,319.0,120.0,77.0,122.0,179362.88,37.62,24.14,38.24,0.12,0.04,0.03,0.05,0.18
73,2557,True,518.0,181.0,69.0,268.0,35377.26,34.94,13.32,51.74,0.19,0.07,0.03,0.09,0.03
53,2557,True,543.0,105.0,74.0,364.0,36957.0,19.34,13.63,67.03,0.2,0.04,0.03,0.13,0.04
52,2557,True,867.0,208.0,183.0,476.0,10636.0,23.99,21.11,54.9,0.32,0.08,0.07,0.17,0.01
66,2557,True,714.0,96.0,618.0,0.0,0.0,13.45,86.55,0.0,0.26,0.04,0.22,0.0,0.0
32,2557,True,894.0,216.0,36.0,642.0,92843.0,24.16,4.03,71.81,0.33,0.08,0.01,0.24,0.09
37,2557,True,180.0,10.0,70.0,100.0,38301.0,5.56,38.89,55.56,0.07,0.0,0.03,0.04,0.04
75,2557,True,541.0,250.0,176.0,115.0,46654.43,46.21,32.53,21.26,0.2,0.09,0.06,0.05,0.05
24,2557,True,245.0,16.0,60.0,169.0,65385.65,6.53,24.49,68.98,0.09,0.01,0.02,0.06,0.06
68,2557,True,196.0,10.0,0.0,186.0,26003.4,5.1,0.0,94.9,0.07,0.0,0.0,0.07,0.03
12,2557,True,942.0,132.0,467.0,343.0,43020.0,14.01,49.58,36.41,0.34,0.05,0.17,0.12,0.04
55,2557,True,840.0,160.0,31.0,649.0,464064.0,19.05,3.69,77.26,0.31,0.06,0.01,0.24,0.46
33,2557,True,913.0,40.0,0.0,873.0,217656.0,4.38,0.0,95.62,0.33,0.01,0.0,0.32,0.22
7,2557,True,795.0,130.0,47.0,618.0,356608.0,16.35,5.91,77.74,0.29,0.05,0.02,0.22,0.36
40,2557,True,843.0,160.0,226.0,457.0,70206.0,18.98,26.81,54.21,0.31,0.06,0.08,0.17,0.07
39,2557,True,386.0,96.0,142.0,148.0,902.25,24.87,36.79,38.34,0.14,0.04,0.05,0.05,0.0
22,2557,True,1361.0,120.0,116.0,1125.0,117784.2,8.82,8.52,82.66,0.5,0.04,0.04,0.42,0.12
35,2557,True,1078.0,250.0,160.0,668.0,24773.55,23.19,14.84,61.97,0.39,0.09,0.06,0.24,0.02
70,2557,True,1604.0,600.0,550.0,454.0,100945.2,37.41,34.29,28.3,0.59,0.22,0.2,0.17,0.1
71,2557,True,301.0,130.0,60.0,111.0,24894.0,43.19,19.93,36.88,0.11,0.05,0.02,0.04,0.02
2,2557,True,2025.0,300.0,0.0,1725.0,2001960.0,14.81,0.0,85.19,0.74,0.11,0.0,0.63,2.0
60,2557,True,221.0,60.0,5.0,156.0,1800.0,27.15,2.26,70.59,0.08,0.02,0.0,0.06,0.0
59,2557,True,890.0,140.0,690.0,60.0,52950.0,15.73,77.53,6.74,0.32,0.05,0.25,0.02,0.05
10,2557,True,624.0,10.0,370.0,244.0,191156.18,1.6,59.29,39.1,0.23,0.0,0.14,0.09,0.2
18,2557,True,525.0,130.0,44.0,351.0,92320.0,24.76,8.38,66.86,0.19,0.05,0.02,0.12,0.09
8,2557,True,221.0,45.0,0.0,176.0,24093.0,20.36,0.0,79.64,0.08,0.02,0.0,0.06,0.02
57,2557,True,865.0,140.0,150.0,575.0,144922.5,16.18,17.34,66.47,0.32,0.05,0.05,0.22,0.14
67,2557,True,1061.0,100.0,0.0,961.0,319493.55,9.43,0.0,90.57,0.39,0.04,0.0,0.35,0.32
21,2557,True,1304.0,40.0,70.0,1194.0,50219.46,3.07,5.37,91.56,0.48,0.01,0.03,0.44,0.05
51,2557,True,576.0,120.0,160.0,296.0,93606.0,20.83,27.78,51.39,0.21,0.04,0.06,0.11,0.09
31,2557,True,495.0,225.0,190.0,80.0,17237.1,45.45,38.38,16.16,0.18,0.08,0.07,0.03,0.02
27,2557,True,487.0,195.0,70.0,222.0,36025.2,40.04,14.37,45.59,0.18,0.07,0.03,0.08,0.04
26,2557,True,270.0,20.0,90.0,160.0,44827.5,7.41,33.33,59.26,0.1,0.01,0.03,0.06,0.04
29,2557,True,1622.0,600.0,390.0,632.0,12829.25,36.99,24.04,38.96,0.59,0.22,0.14,0.23,0.01
41,2557,True,467.0,15.0,90.0,362.0,23218.0,3.21,19.27,77.52,0.17,0.01,0.03,0.13,0.02
48,2557,True,316.0,60.0,56.0,200.0,4293.0,18.99,17.72,63.29,0.12,0.02,0.02,0.08,0.0
23,2557,True,1180.0,95.0,355.0,730.0,106065.6,8.05,30.08,61.86,0.43,0.03,0.13,0.27,0.1
6,2557,True,280.0,50.0,0.0,230.0,98550.9,17.86,0.0,82.14,0.1,0.02,0.0,0.08,0.1
45,2557,True,1133.0,270.0,300.0,563.0,13994.7,23.83,26.48,49.69,0.41,0.1,0.11,0.2,0.01
38,2557,True,1698.0,650.0,670.0,378.0,22258.53,38.28,39.46,22.26,0.62,0.24,0.24,0.14,0.02
61,2557,True,531.0,115.0,32.0,384.0,682937.5,21.66,6.03,72.32,0.19,0.04,0.01,0.14,0.68
54,2557,True,984.0,50.0,140.0,794.0,206863.0,5.08,14.23,80.69,0.36,0.02,0.05,0.29,0.2
30,2557,True,577.0,185.0,110.0,282.0,11909.75,32.06,19.06,48.87,0.21,0.07,0.04,0.1,0.01
42,2557,True,438.0,80.0,40.0,318.0,5727.0,18.26,9.13,72.6,0.16,0.03,0.01,0.12,0.0
46,2557,True,211.0,80.0,36.0,95.0,1351.56,37.91,17.06,45.02,0.08,0.03,0.01,0.04,0.0
64,2558,True,557.0,130.0,143.0,284.0,192146.0,23.34,25.67,50.99,0.2,0.05,0.05,0.1,0.19
1,2558,True,11500.0,1310.0,10190.0,0.0,0.0,11.39,88.61,0.0,4.2,0.48,3.72,0.0,0.0
56,2558,True,686.0,23.0,22.0,641.0,463475.72,3.35,3.21,93.44,0.25,0.01,0.01,0.23,0.46
34,2558,True,983.0,350.0,83.0,550.0,29502.0,35.61,8.44,55.95,0.36,0.13,0.03,0.2,0.03
49,2558,True,703.0,152.0,245.0,306.0,1704.0,21.62,34.85,43.53,0.26,0.06,0.09,0.11,0.0
28,2558,True,1870.0,500.0,136.0,1234.0,754904.0,26.74,7.27,65.99,0.68,0.18,0.05,0.45,0.75
13,2558,True,605.0,60.0,216.0,329.0,77105.0,9.92,35.7,54.38,0.22,0.02,0.08,0.12,0.08
15,2558,True,862.0,100.0,17.6,744.4,261500.0,11.6,2.04,86.36,0.31,0.04,0.01,0.26,0.26
11,2558,True,2487.0,218.0,1058.0,1211.0,314770.0,8.77,42.54,48.69,0.91,0.08,0.39,0.44,0.31
9,2558,True,360.0,150.0,75.0,135.0,132590.41,41.67,20.83,37.5,0.13,0.05,0.03,0.05,0.13
25,2558,True,1087.0,300.0,10.0,777.0,84010.0,27.6,0.92,71.48,0.4,0.11,0.0,0.29,0.08
69,2558,True,365.0,8.0,29.0,328.0,122007.3,2.19,7.95,89.86,0.13,0.0,0.01,0.12,0.12
72,2558,True,665.0,250.0,21.0,394.0,163080.0,37.59,3.16,59.25,0.24,0.09,0.01,0.14,0.16
14,2558,True,268.0,51.0,82.0,135.0,80247.0,19.03,30.6,50.37,0.1,0.02,0.03,0.05,0.08
50,2558,True,640.0,135.0,28.0,477.0,126195.75,21.09,4.38,74.53,0.23,0.05,0.01,0.17,0.13
17,2558,True,256.0,55.0,93.0,108.0,35522.0,21.48,36.33,42.19,0.09,0.02,0.03,0.04,0.03
58,2558,True,1080.0,168.0,576.0,336.0,131342.54,15.56,53.33,31.11,0.39,0.06,0.21,0.12,0.13
36,2558,True,673.0,250.0,28.0,395.0,99904.29,37.15,4.16,58.69,0.25,0.09,0.01,0.15,0.1
19,2558,True,2294.0,120.0,393.0,1781.0,521833.6,5.23,17.13,77.64,0.84,0.04,0.14,0.66,0.52
63,2558,True,1097.0,64.0,24.0,1009.0,1114591.2,5.83,2.19,91.98,0.4,0.02,0.01,0.37,1.11
47,2558,True,1131.0,250.0,334.0,547.0,18942.0,22.1,29.53,48.36,0.41,0.09,0.12,0.2,0.01
3,2558,True,1624.0,324.0,1300.0,0.0,0.0,19.95,80.05,0.0,0.59,0.12,0.47,0.0,0.0
76,2558,True,851.0,380.0,119.0,352.0,53739.6,44.65,13.98,41.36,0.31,0.14,0.04,0.13,0.05
43,2558,True,453.0,125.0,40.0,288.0,10475.0,27.59,8.83,63.58,0.17,0.05,0.01,0.11,0.01
77,2558,True,397.0,165.0,27.0,205.0,13785.06,41.56,6.8,51.64,0.14,0.06,0.01,0.07,0.01
20,2558,True,1559.0,160.0,69.0,1330.0,57873.53,10.26,4.43,85.31,0.57,0.06,0.03,0.48,0.06
4,2558,True,1591.0,190.0,220.0,1181.0,116296.0,11.94,13.83,74.23,0.58,0.07,0.08,0.43,0.12
62,2558,True,533.0,55.0,126.0,352.0,257445.0,10.32,23.64,66.04,0.19,0.02,0.05,0.12,0.26
16,2558,True,459.0,20.0,7.0,432.0,318962.0,4.36,1.53,94.12,0.17,0.01,0.0,0.16,0.32
74,2558,True,640.0,208.0,129.0,303.0,96991.2,32.5,20.16,47.34,0.23,0.08,0.05,0.1,0.1
5,2558,True,1148.0,191.0,0.0,957.0,486714.0,16.64,0.0,83.36,0.42,0.07,0.0,0.35,0.49
44,2558,True,495.0,133.0,22.0,340.0,20400.0,26.87,4.44,68.69,0.18,0.05,0.01,0.12,0.02
65,2558,True,301.0,87.0,79.0,135.0,194289.74,28.9,26.25,44.85,0.11,0.03,0.03,0.05,0.19
73,2558,True,523.0,185.0,70.0,268.0,48430.59,35.37,13.38,51.24,0.19,0.07,0.03,0.09,0.05
53,2558,True,542.0,102.0,74.0,366.0,36957.0,18.82,13.65,67.53,0.2,0.04,0.03,0.13,0.04
52,2558,True,927.0,230.0,191.0,506.0,21016.0,24.81,20.6,54.58,0.34,0.08,0.07,0.19,0.02
66,2558,True,744.0,101.0,633.0,10.0,0.0,13.58,85.08,1.34,0.27,0.04,0.23,0.0,0.0
32,2558,True,908.0,250.0,23.0,635.0,138688.0,27.53,2.53,69.93,0.33,0.09,0.01,0.23,0.14
37,2558,True,179.0,9.0,69.0,101.0,38301.0,5.03,38.55,56.42,0.07,0.0,0.03,0.04,0.04
75,2558,True,549.0,260.0,186.0,103.0,14718.0,47.36,33.88,18.76,0.2,0.09,0.07,0.04,0.01
24,2558,True,241.0,15.0,52.0,174.0,41790.65,6.22,21.58,72.2,0.09,0.01,0.02,0.06,0.04
68,2558,True,199.0,11.0,0.0,188.0,26003.4,5.53,0.0,94.47,0.07,0.0,0.0,0.07,0.02
12,2558,True,973.0,170.0,445.0,358.0,35640.0,17.47,45.73,36.79,0.36,0.06,0.16,0.14,0.03
55,2558,True,805.0,50.0,30.0,725.0,375099.16,6.21,3.73,90.06,0.29,0.02,0.01,0.26,0.37
33,2558,True,909.0,35.0,0.0,874.0,176522.02,3.85,0.0,96.15,0.33,0.01,0.0,0.32,0.18
7,2558,True,818.0,145.0,47.0,626.0,274534.0,17.73,5.75,76.53,0.3,0.05,0.02,0.23,0.27
40,2558,True,867.0,190.0,194.0,483.0,70206.0,21.91,22.38,55.71,0.32,0.07,0.07,0.18,0.07
39,2558,True,402.0,85.0,142.0,175.0,782.25,21.14,35.32,43.53,0.15,0.03,0.05,0.07,0.0
22,2558,True,1382.0,120.0,86.0,1176.0,67144.2,8.68,6.22,85.09,0.5,0.04,0.03,0.43,0.07
35,2558,True,1123.0,320.0,144.0,659.0,25816.35,28.5,12.82,58.68,0.41,0.12,0.05,0.24,0.02
70,2558,True,1624.0,630.0,547.0,447.0,95788.26,38.79,33.68,27.52,0.59,0.23,0.2,0.16,0.09
71,2558,True,308.0,140.0,54.0,114.0,38407.0,45.45,17.53,37.01,0.11,0.05,0.02,0.04,0.04
2,2558,True,2049.0,370.0,0.0,1679.0,1300000.0,18.06,0.0,81.94,0.75,0.14,0.0,0.61,1.3
60,2558,True,161.0,1.0,0.0,160.0,0.0,0.62,0.0,99.38,0.06,0.0,0.0,0.06,0.0
59,2558,True,950.0,167.0,642.0,141.0,30000.0,17.58,67.58,14.84,0.35,0.06,0.23,0.06,0.03
10,2558,True,681.0,70.0,404.0,207.0,81780.0,10.28,59.32,30.4,0.25,0.03,0.15,0.07,0.08
18,2558,True,537.0,135.0,45.0,357.0,91781.0,25.14,8.38,66.48,0.2,0.05,0.02,0.13,0.09
8,2558,True,249.0,51.0,0.0,198.0,13200.0,20.48,0.0,79.52,0.09,0.02,0.0,0.07,0.01
57,2558,True,880.0,150.0,161.0,569.0,87306.24,17.05,18.3,64.66,0.32,0.05,0.06,0.21,0.08
67,2558,True,1070.0,100.0,17.0,953.0,259588.0,9.35,1.59,89.07,0.39,0.04,0.01,0.34,0.26
21,2558,True,1302.0,36.0,65.0,1201.0,10805.3,2.76,4.99,92.24,0.48,0.01,0.02,0.45,0.01
51,2558,True,578.0,130.0,172.0,276.0,45909.9,22.49,29.76,47.75,0.21,0.05,0.06,0.1,0.04
31,2558,True,509.0,195.0,170.0,144.0,15838.2,38.31,33.4,28.29,0.19,0.07,0.06,0.06,0.01
27,2558,True,498.0,91.0,39.0,368.0,21782.0,18.27,7.83,73.9,0.18,0.03,0.01,0.14,0.02
26,2558,True,271.0,14.0,78.0,179.0,41038.0,5.17,28.78,66.05,0.1,0.01,0.03,0.06,0.04
29,2558,True,1672.0,705.0,307.0,660.0,19176.09,42.17,18.36,39.47,0.61,0.26,0.11,0.24,0.02
41,2558,True,484.0,125.0,86.0,273.0,0.0,25.83,17.77,56.4,0.18,0.05,0.03,0.1,0.0
48,2558,True,316.0,41.0,68.0,207.0,2403.0,12.97,21.52,65.51,0.12,0.01,0.02,0.09,0.0
23,2558,True,1172.0,95.0,326.0,751.0,81745.0,8.11,27.82,64.08,0.43,0.03,0.12,0.28,0.08
6,2558,True,283.0,50.0,0.0,233.0,98550.9,17.67,0.0,82.33,0.1,0.02,0.0,0.08,0.1
45,2558,True,1180.0,250.0,265.0,665.0,10325.12,21.19,22.46,56.36,0.43,0.09,0.1,0.24,0.01
38,2558,True,1652.0,550.0,650.0,452.0,15572.22,33.29,39.35,27.36,0.6,0.2,0.25,0.15,0.01
61,2558,True,479.0,25.0,43.0,411.0,230500.0,5.22,8.98,85.8,0.17,0.01,0.02,0.14,0.23
