year_be,province_name,metric_name,value_country_page,value_province_page
2564,ประจวบคีรีขันธ์,ขยะมูลฝอยตกค้าง (ตัน),7604.0,7603.0
2564,ภูเก็ต,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),612.0,61.0
2564,มหาสารคาม,ขยะมูลฝอยตกค้าง (ตัน),91111.0,91110.0
2564,ร้อยเอ็ด,ขยะมูลฝอยที่เกิดขึ้น (ตัน/วัน),938.0,93.0
2564,ร้อยเอ็ด,ขยะมูลฝอยตกค้าง (ตัน),1139.0,1140.0
2564,ลพบุรี,ขยะมูลฝอยตกค้าง (ตัน),240899.0,240897.0
2564,ลำปาง,ขยะมูลฝอยตกค้าง (ตัน),11128.0,11121.0
2564,ลำพูน,ขยะมูลฝอยตกค้าง (ตัน),0.0,14.0
2564,สกลนคร,ขยะมูลฝอยตกค้าง (ตัน),4838.0,4834.0
2564,สระแก้ว,ขยะมูลฝอยตกค้าง (ตัน),117178.0,117177.0
2564,สุราษฎร์ธานี,ขยะมูลฝอยตกค้าง (ตัน),587826.0,587825.0
2564,สุรินทร์,ขยะมูลฝอยตกค้าง (ตัน),1737.0,1736.0
2564,หนองคาย,ขยะมูลฝอยตกค้าง (ตัน),6708.0,6707.0
2564,เลย,ขยะมูลฝอยตกค้าง (ตัน),209913.0,209911.0
2564,แพร่,ขยะมูลฝอยตกค้าง (ตัน),9005.0,4451.0
2565,บึงกาฬ,ขยะมูลฝอยตกค้าง (ตัน),0.0,13680.0
2565,สมุทรสาคร,ขยะมูลฝอยตกค้าง (ตัน),15020.0,0.0
2568,กระบี่,ขยะมูลฝอยตกค้าง (ตัน),52110.0,52110.13
2568,กาญจนบุรี,ขยะมูลฝอยตกค้าง (ตัน),256547.0,256547.63
2568,จันทบุรี,ขยะมูลฝอยตกค้าง (ตัน),1006251.0,1006251.17
2568,ฉะเชิงเทรา,ขยะมูลฝอยตกค้าง (ตัน),125584.0,125584.08
2568,ชัยนาท,ขยะมูลฝอยตกค้าง (ตัน),36742.0,36742.1
2568,ชุมพร,ขยะมูลฝอยตกค้าง (ตัน),164511.0,164511.05
2568,นครพนม,ขยะมูลฝอยตกค้าง (ตัน),43836.0,43836.9
2568,นครศรีธรรมราช,ขยะมูลฝอยตกค้าง (ตัน),1877142.0,1877142.2
2568,นราธิวาส,ขยะมูลฝอยตกค้าง (ตัน),39260.0,39260.19
2568,น่าน,ขยะมูลฝอยตกค้าง (ตัน),217.0,217.29
2568,บึงกาฬ,ขยะมูลฝอยตกค้าง (ตัน),3292.0,3292.37
2568,ปราจีนบุรี,ขยะมูลฝอยตกค้าง (ตัน),349139.0,349139.84
2568,ปัตตานี,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),86.0,86.5
2568,ปัตตานี,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),183.0,183.5
2568,ปัตตานี,ขยะมูลฝอยตกค้าง (ตัน),15992.0,15992.32
2568,พระนครศรีอยุธยา,ขยะมูลฝอยตกค้าง (ตัน),941455.0,941455.56
2568,พัทลุง,ขยะมูลฝอยตกค้าง (ตัน),105077.0,105077.17
2568,ยะลา,ขยะมูลฝอยที่ถูกกำจัดถูกต้อง (ตัน/วัน),215.0,215.5
2568,ยะลา,ขยะมูลฝอยที่ถูกกำจัดไม่ถูกต้อง (ตัน/วัน),24.0,24.5
2568,ลพบุรี,ขยะมูลฝอยตกค้าง (ตัน),256586.0,256586.14
2568,ลำปาง,ขยะมูลฝอยตกค้าง (ตัน),2357.0,2357.74
2568,สกลนคร,ขยะมูลฝอยตกค้าง (ตัน),3588.0,3588.15
2568,สงขลา,ขยะมูลฝอยตกค้าง (ตัน),169816.0,169816.5
2568,สุพรรณบุรี,ขยะมูลฝอยตกค้าง (ตัน),120008.0,120008.5
2568,สุราษฎร์ธานี,ขยะมูลฝอยตกค้าง (ตัน),796755.0,796755.54
2568,หนองคาย,ขยะมูลฝอยตกค้าง (ตัน),7932.0,7932.85
2568,หนองบัวลำภู,ขยะมูลฝอยตกค้าง (ตัน),208178.0,208178.5
2568,อุดรธานี,ขยะมูลฝอยตกค้าง (ตัน),6773.0,6773.75
2568,อุบลราชธานี,ขยะมูลฝอยตกค้าง (ตัน),56291.0,56291.3
2568,เพชรบุรี,ขยะมูลฝอยตกค้าง (ตัน),31650.0,31650.5
2568,เลย,ขยะมูลฝอยตกค้าง (ตัน),408639.0,408639.77
